Comment|No|Yes|Kind of offensive language
Dziwię się, że Niemcy działają opieszale w sprawie gwałtów przecież nie wyszli chyba z wprawy z radykalnych rozwiązań tzn. w obozach dla tych islamskich zwierząt  instalować przewoźne komory gazowe i po problemie.|3|28|2
Przywalić atomem tej islamskiej dziczy. Merkel powinna być powieszona publicznie.|2|7|2
Tu trzeba jasno powiedzieć,wracasz albo kulka.|0|40|2
umrzesz za tydzień|16|0|2
wybic do nogi prawie wszystkich arabów , pozostawiając kilku jako eksponaty|1|1|2
SPALIĆ MECZETY|1|1|2
Czas odpalic piece i komory gazowe, szybko zboczencow muzulmanskich osądzać i w dym obracać.|1|14|2
Stryczek !|11|4|2
Bohater narodowy szkalowany przez prawicę która tylko nienawidzi! Śmierć popierającym PiS to antyludzie!|4|2|2
Proponuję wysłać do niego pluton specjalny z polonem.|12|6|2
zdrajcy na latarnie|1|2|2
Racja!!! PO pod mur!!!|2|1|2
na drzewo zielony liściu !!|0|2|2
Hitler popełnił okropny błąd powinien się wziąć za islamistów a nie całaresztę|0|68|2
Ciekawe czy się tak będzie śmiał jak zawiśnie za jaja na latarni przed belwederem,|1|0|2
Serio? Imigranci się źle zachowuja? Teraz wszyscy zdziwieni. To dopiero początek niestety. Hitler, zbudz się i zrób porządek!|2077|1763|2
Kulka w łeb każdemu imigrantowi i dowiedzenia. Tanio, i skutecznie.|52|28|2
humanizm zgubi Europę czas zacząć o Nią dbać a nie o ludzi którzy na to nie zasługują .Słowem więcej Azotoxu|0|21|2
razem z  ta szantrapą  powinieneś wisieć za zdradę  OJCZYZNY KASZUBI POWINNI SIĘ TOBĄ ZAJĄC|53|26|2
widze betonowe buty i rybe.|1|0|2
dla takich jak Gliński powinna byc przywrócona kara smierci|5|4|2
ZDRAJCA!!!!!! POWIESIĆ!!!!!!|12|4|2
Za defetyzm i zdradę stanu ks dla każdego.|1|0|2
Tusk  zdrajco  dawno  powinieneś wisiec|10|3|2
Na pana czeka pluton egzekucyjny po kilku pokazowych procesach.|32|12|2
Mam pomysł jak się nie mogą pohamować w cudzym kraju to ich od razu kastrowac albo nie wpuszczać jak inne kraje i mam takie pytanie dlaczego do Putina nie zawitaja?|710|411|2
A jakby na nawóz ich przerobić..|1|1|2
Co za głupota twierdzić że kobiety były nieskromnie ubrane, to była zima, sylwester, z pewnością miały płaszcze i kurtki! Gdyby mnie to spotkało, stworzyłabym grupkę bojową obcinającą zbokom genitalia. Dość tych śliniących się oblechów ze wschodu. Zwierzęta.|0|43|2
Zdrajca będzie wisiał|10|3|2
Proponuje urochomic Oswiecim dla takich zdrajcow z Po i Nw!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!|53|27|2
tą rudą marionetkę powinni głęboko zakopać i przysypać wapnem żeby się nie wykopał|84|45|2
Czym grozi zdrada Państwa? Jeszcze niedawno to była kara śmierci.|101|55|2
widze betonowe buty i rybe.|1|0|2
sPOkojnie niech PiS zgodnie z wola milionow polakow rozlicza przestepcow z PO PSL za sprzedanie polski i zrujnowanie jej obcym nam silom antypolskim!!!! na szafot z nimi!!!!|8|6|2
Zdrajca Polski na szafot z nim !!!!!!!!!!!!!!!!|32|12|2
razem z  ta szantrapą  powinieneś wisieć za zdradę  OJCZYZNY KASZUBI POWINNI SIĘ TOBĄ ZAJĄC|53|26|2
Tusk, kiedy wrócisz do Polski, Polacy własnoręcznie Cię powieszą. Na nic innego nie zasługujesz i doskonale zdajesz sobie z tego sprawę. Zdrada kraju jest karana śmiercią.|86|48|2
Bohater narodowy szkalowany przez prawicę która tylko nienawidzi! Śmierć popierającym PiS to antyludzie!|4|2|2
"Szanowni Panowie" z "państwa Islamskiego", dla was jedyną opcją jest opcja Pana Wielowiejskiego z "Wołodyjowskiego", czyli wbicie na pal (powoli), dopuki będziemy przestrzegać praw człowieka wobec was, dopóty będziemy ponosić porażki!, wasza śmierć jest naszym życiem.|0|11|2
imigrantom powinni obcinać jądra by nie gwałcili|0|10|2
W takich momentach brakuje takich ludzi jak Hitler. Choć nie jestem jego fanem, ale jedno robił dobrze redukował populacje, które narzucały swoje poglądy i zwyczaje większości.|1|0|2
Do gazu skurwysyny do gazu|1|0|2
Menda Kurski zgnije w glebie już niedługo. Takich ludzi się odsuwa, przenosi ale nie wyrzuca.|19|6|2
szkoda że nie pękł, byłby spokój raz na zawsze|0|1|1
SAM JESTEŚ ŚWIR!!!!|3|2|1
i bardzo dobrze ze mu babe wybzykali,rogacz,rogacz|7|4|1
Bagno to masz w tym pisowskim łbie...|2|1|1
Hitler mówił to samo w 1933r, na szczęście kaczyński to tyran kieszonkowego rozmiaru znowu czarnecki coś bredzi? ten dupojeździec? ile on partii zaliczył?  idee nieważne, koryto - tak|6|5|1
kartofel jeba.y|0|3|1
ty czereśniaku, a gdzie Twoja żałoba to poległych błogosławionym Lechu i błogosławionej Maryji....|0|0|1
Ta Gasiuk z Petru to tam ten tego, co widać gołym okiem ....|4|1|1
Wynocha POwskie szumowiny. Brawo PIS|1|0|1
... WON Z FORUM.|1|1|1
Proszę rząd o posprzątanie tego bydła w telewizji polskiej-płacę abonament.|435|256|1
To ten rudzielec buntuje władze Europy przeciwko Polsce. W Stanach za zdradę już by nie istniał, zdrajca za stołek...|404|273|1
a to łachudra ruda|83|45|1
Lechu nic się martw pisdowcami, antysemicką polską bandą, psycholami rydzyka, zwykłymi prymitywnymi głupimi polaczkami na Zachodzie zawsze byłeś i zostaniesz Wielki!|6|0|1
Bardzo dobrze, że Polacy popierają Pana Petru. Niektórzy stwierdzają, że jak Żyd to nie należy na niego głosować. Faktycznie ojciec Pana Petru nazywał się Petrubaun. Ale Pan Ryszard jest już spolszczonym Żydem. Jego dzieci były już ochrzczone i czują się Polakami. Żydzi są bardzo zdolnymi ludźmi, a szczególnie w dziedzinie handlowej i ogólnej. Ja przewiduję, że Pan Petru, szef NOWOCZESNEJ będzie jeszcze Prezydentem lub Premierem naszego kraju.|10|1|1
skad sie biora ludzie ktorym przeszkadza reporter ktory atakuje polityka bo co swiete krowy z PISu i PO i innych gownianych partyjek . DO was to mowie glaby zaslepione zycie realne wlasnie tak wyglada jak to pokazuja w TV wolnej a nie jak to pieknie koloryzuja lub dramatyzuja zaleznie jak im to jest potzrebne politycy . Wiec ruszcie mozgi i niech do was dotrze co sie dzieje po co takie dzialania . Skoro sie krzyczalo ze w kraju dramat to teraz trzeba szybko opanowac media zeby za 4 lata wszystko bylo pieknie i cudownie . MYSlcie troche !!!!!!!!!|3|0|1
Ciekawa będzie konkurencja między TVP-PiS , TV Trwam i TV Republika o telewidzów PiS-orów ?|2|0|1
Maniek , tak jak durną masz ksywę ,tak durnie myślisz i piszesz . Współczuję ale dobra wiadomość ,to się leczy !!|5|3|1
ten zarosniety alimenciarz ...masakra|3|2|1
Ten rejon świata jest nieuleczalnie chory i żadne gdybanie tam nie pomoże a mało tego niedosc ze chory to jeszcze zaraża|0|6|1
tu jest POLSKA i rządać to se możecie,ale u siebie. Wy CHACHŁY|38|37|1
zawodowiec, ty to pewnie jesteś taki bezrobotny Leon Zawodowiec z Koziej Wólki ... no to i nie wiesz jak się pracuje, no ale ok, głupi to i wybaczamy|1|0|1
ryży zdrajca pod trybunał, największy szkodnik społeczny;|158|99|1
Szkoda, że tylko prawie pękł...|3|9|1
Rzeczywiście bardzo śmieszne... Pan JK zachowuje się jak chłopczyk w spodenkach. On ma coś z głową/ PATRZCIE LUDZIE KOGO WYBRALIŚCIE. WSTYD !!!|5|10|1
Nazwałbym go spasionym knypkiem ale tego nie zrobię i nazwę go "Polakiem gorszego sortu"|7|6|1
ty tepa blondynko religija w szkolach jest finansowana z kasy podatnikow a ja sie z tym nie zgadzam I co ty na to. nie podoba ci sie sztuka to na nia nie idz ,mamy k.....wa wolna polske I moge ogladac co chce.M|1|0|1
Jarek przeczytal kawal o sexie czyli :opozycja zadala pytanie jarkowi o sex partnerski a ten odwrozil kota ogonem|1|1|1
Poszła łajza poskarżyć się do Niemca. Kim to babsko jest??? Hejt to tylko pieszczoty dla takiej kanalii, dawniej golono łby!!!|1|0|1
WOLNA POLSKA   PYTAM  CO MA GENERAL NA SUMIENIU, ZE PODDAJE SIE DYMISJI ???!!OBECNIE  NIE BEDZIE SŁUŻY PRAWICOWEMU RZĄDOWI TO JAKIEMU,KOMU  SŁUŻYŁ PRZEDTEM   ,NIEMCOM RUSKIM ??? ps. GENERAL POslugiwacz|1|8|1
Prawo szariatu to wspaniała sprawa. Kobietę należy traktować na równi z kozą i psem. Europejkach w kitach się poprzewracało. Europejscy mężczyźni również powinni tak traktować kobiety jak muzułmanie. Niech w końcu wróci normalność.|2|1|1
Siedzi pewnie na redtubie i zobaczyl jak go koledzy z partii fistuja...|2|1|1
Co ty napisał wsiowy capie ?|2|0|1
Kaczyński jest kretynem i nie budzi to już wątpliwości,zastanawiajace jest tylko jak mógł skupić  taką ilość podobnych do siebie przypadków ?!!!|11|8|1
Czyli jak nie popieram moherów to nie jestem Polakiem w jesteście chorzy z nienawiść do ludzi mających swoje zdanie. Gwoli ścisłości jestem apolityczny.|3|1|1
Petru najadł sie starych swetrów i bredzi,,,,wstyd popaprańcy,,,,,|43|20|1
Czy dziennikarze to święte krowy te resortowe zidokomuny to chyba tak|104|50|1
Jeszcze jeden sprzedawczyk i konfident!!!!!!!!!!!|22|8|1
do "Ja"! Szkoda POmiocie,że zabierasz głos POpaprańcu!|8|10|1
Przychodzą Jarka "lachoroby".|1|0|1
Nie wierze w te sondaże. Platforma ma na pewno więcej niż ta śmieszna partyjka nowoczesna z tymi pseudo posłami. Dla mnie PO zawsze najlepsze.|3|1|1
to asz tylu jest uposledzonych umyslowo tragedja|11|6|1
Zaraz pewnie wyleje się jad z pod palców katolików|3|1|1
jeszcze jeden czopek starał się wejść w prezesa d....e tylu już tam ma że musiało to wyglądać śmiesznie|0|3|1
i dalej szczujnia...|2|2|1
To sie umyj|4|3|1
Pajac polityczny !!!!|523|272|1
Oj pełofilki jesteście już zerem nawet w oczach narodu , jak jesteście tacy dumni ze swoich idoli z peło i peeselu to wyjdźcie w południe na główny rynek swojego miasta i krzykiem to oznajmiajcie , ciekaw jestem jak długo będziecie stać na własnych nogach i o własnych siłach .|1|1|1
Ciekawe czy się tak będzie śmiał jak zawiśnie za jaja na latarni przed belwederem,|1|1|1
To na sponsorowane sondaże idą nasze podatki ?????? a może na opłacanie hejtów pisiurom ???? PARANOJA !!!!|3|2|1
Nie pracowali ani dla Polski ani dla Polaków!!! Pracowali dla PO myleńców, sprzedawczyków i kolaborantów. Oddać Polskę Polakom - Proszę|21|10|1
Precz z Targowicą. Dosyć tych zdrajców!|156|94|1
Ojj tuSSku szykujesz prawdziwe baty na siebie i na swoją rodzinę od Polaków .|22|9|1
oglądał nie striptiz pseudo profesor tylko striptiz swego kota|0|3|1
jaki z ciebie facet jak ty jeszcze prawiczek kotki się nie liczą|2|4|1
tylko tyle umiesz tuku|4|0|1
Spadaj na drzewo !!!! opłacany ciemny klikerze. kwa kwa|20|4|1
ja pie...... Kurski ostatni met jakiego nie moge zniesc . Zero honoru ten czlowiek posiada . Nie wiem kto wiekszym oszolomem on czy Macierewicz albo jeszcze jeden odpad Niesiolowski . Myslalem ze najbardziej niecierpie PO ale te z..... to juz pobily wszystkie rekordy . Czyli podsumowujac TVP chca miec dla siebie a TVN czy Polsat klamia wedlug ich wersji . wnioski same sie nasuwaja zero niecenzurowanej info dla ludzi . Boszeee i ten ....... z Gdanska .|3|0|1
