Comment,Kind of offensive language
dla ja faworyta do tytuł będzie cracovia zobaczyć czy typ się sprawdzić,0
brawo ty daria kibic mieć być na dobry i zły,0
super polski premiera składać kwiat na grób kolaborant ale doczekać czas,0
musić inny droga nie mieć,0
odrzut natychmiastowy kwaśny mina mieć problem,0
jaki on być fajny xdd pamiętać że spóźnić się na on pierwszy zajęcie i to sporo i za kara kazać ja usiąść w pierwszy ławka xd,0
no nie mieć u my szczęście winning_face,0
dawno ktoś tak wredny nie widzieć xd,0
zaległość być ale ważny czy być wezwanie do zapłata z który się kluba nie wywiązać,0
gdzie być budziński być kłamca i marny kutas,1
no mieć nadzieja,0
może gustować w stary pani,0
zostawić tam rok temu notatka na mankiet musić się wrócić,0
oprawa do krzysia być pseudonim pinokio n mogłeś być gangster a zostałeś ligowy frajer grinding_face,0
znowu będzie komunikat o polski pirata drogowy w słowacji,0
mówić człowiek który chcieć nałożyć sankcja na polskę gratulacja niepodlegla listopad,0
o jaki zachowanie fer mówić skoro ukrywać się z to że podpisać kontrakt z legia móc rozwinąć,0
joanna po raz pierwszy się z pani zgadzać beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,0
monstera block monstera block monstera block beaming_face_with_smiling_eyes,0
czyżby madryt brać przykład z warszawa,0
no to skończyć kurwa z to wersal w on szczucia,1
nie wiedzieć często grać na zmiana na prawy skrzydło,0
no to pan i kolega mieć z głowa przestać tak reszta życie pod górka,0
a ja obstawiać że pójść bardzo w strona to że móc się powtórzyć sytuacja z merowiński,0
aaaaa kuba ja odpisać hehehehehe,0
asysta kacpra falowy i dla widzewa witać widzew w ii liga no i w suma fajnie,0
gwizdać na on bo nie oglądać mecz,0
ale może w koniec dojść do wniosek że skoro on kluba już nie karać to dobrze on sprzedać i mieść po kłopot,0
hej halo o co to być bo mieć na swój liść i nie wiedzieć czy warto,0
dorosły żyto nie być dla ja,0
cześć paderewski część opalać się noga,0
uprowadzić gumowy kaczuszka zacząć negocjować,0
już wiedzieć z się nie dogadać xd,0
ale to w nowy przekład jeszcze nie czytać,0
lahora ja nigdy nie szkoda woleć jak na pierwszy plan być piłkarz a nie sędzia,0
sprawdzić chłop w słownik co oznaczać słowo który używać a potem się odzywać,0
zmienić se nazwe na profil na insta bo się nazywać grzegorz osoba,0
woronicza poseł halicki oburzony za bolkanaprawd taki tępy czy tylko udawać idiota,1
ten aktorka mieć rok jaki stary chyba musić się już do grób pakować rocznik face_with_tears_of_joy ok_hand_light_skin_tone,0
nherr der schtwtzer wykonawca von span,0
brać cie cie pod chuj a ty sie produkować,0
jak narazie to mieć przewidzenie co nie zmieniać fakt że cały czas być idiota,1
kiedy do licznik dojść bilet z fan klubow,0
a kto prowadzić zespół będzie podać skład z ten mecz,0
główny powód to brak kasa trzeba dać bogaty i być bez godność i honor,0
zrobić taki cv że ohohohoho,0
świętować uchwalenie konstytucja maj i łamać konstytucja rp obecnie obowiązującąnmaja dzienie hipokryzja,0
nie grać bo być jovanovic i guilherme,0
o ten godzina sport szanować ciało,0
nikt nigdy nie rozsiewać taki smród jak,1
nikt ty tak dobrze nie ubrać jak matka chrzestny dziecina,0
nikt tutaj nie chcieć plagiaciarzy kopiujących brytyjski pisarz,0
a ksiądz co brać tyś za spowiedź przez telefon,0
koń też mieć duży głowa tylko wydawać ja się że być bardzo inteligentny niż karczewski,0
pod i góra pod wiatr to dużo niż k,0
sędzia var nie decydować o karny winning_face,0
jakiś program na tvn nauka jazda za kierownica babcia śpiewać jechać jechać jechać świr jechać jechać jechać jechać świr jechać,0
ten obecny zary larsson czy pitbull z ostatni mś nie być zły,0
znak w jeden zdanie seenoevil_monkey,0
po wahanie waga kwacha wznosić że to móc być kapuściana,0
w ten sezon razem z puchar mecz i golmójta więcej strzeliłsorry patrze w statystyka,0
finał tblk być przyzwoicie sędziować aha,0
taki miałam właśnie teraz kupić z atrice,0
to on wymienić co problem,0
a ja mieć ciepło jak się przytulać do swój kot,0
właśnie ile najpierw odpowiedzieć sobie mieć to pytanie potem dziwić się zwycięstwo zdanowskiej,0
w on przypadek statystyk przebiegniętych kilometr nie mieć znaczenie czy grać zajebiście czy fatalnie biegać tyle sam,0
manna też mieć pełny prawo,0
kończyłeś już kilka raz face_with_tears_of_joy,0
dzisiaj zajmować się wariat krystyną ciekawy czy będzie płakać,0
a co będzie jak kuba nigdy niewola,0
ten w sejm też bando hipokryta i złodziej,0
w każdy z cztery grupa będzie walka o zwycięstwo premiować awans do clj bardzo potrzebny rozwiązanie brawo,0
tak się poznać z mój chłopak face_with_tears_of_joy czas warto,0
nelly furtado a tytuł force czy cos taki,0
mówić prawda kto wy skrzywdzić,0
być tu od xd,0
ten kadra to rocznik,0
posiadać sensor cgm ciągły monitoring glikemia w koniec,0
jeszcze żaden polak nie wystąpić w mecz gwiazda nba nie liczyć mietka paciaciaka pomóc marcinowi portal być bbcvote,0
no kurwa myślałem że na podlasiu,0
tak to nawet dobry rozwiązanie,0
koń by się śmiać tvn i tvn wolny medium bardzo perfidny carstwo nie słyszeć thinking_face,0
gdzie ja wtedy być,0
liga sie nudzić i se coś na kolano napisać i mieć sensacja,0
dzisiaj wrócić do trening czyli zdążyć winning_face,0
nie wiedzieć zerknąć na minuta,0
z motłoch nie dyskutować tylko dawać ban a pani gratulować obrońca,0
móc też zawsze po prosty zapytać kiedy się urodzić albo wpisać hasztag latkasiapawlak,0
ale z kategoria mój zdanie przesadzająsponsor rok serce impreza bez jajo,0
prezes się cieszyć z wisla odpaść bo w raz finał legiawisla znów by musieć finał odwoływać,0
bratowa wysłać ja zdjęcie bratanica z rozpoczęcie rok iść do pierwszy klasa biedactwo nie wiedzieć co on czekać,0
szybki pytanie do ręka salowa być zagranie umyślny,0
dzienie w który abidal sprzedać i kupić vidal winning_face,0
równie dobrze można gol stracić,0
chorwaci przerwa w końcówka dogrywka wiadomo,0
nasz dziecko będą zdegustować być taki pis taki historia populizm i głupota w rok margines,0
o myślałam że nikt już nie używać ja tylko ja,0
na nowy stadion westa hamu też to widziałem,0
zawodnik w sezon móc grać w barwy dwa klub więc jeszcze nica stracić,0
ciekawy czy faktycznie być taki zakład bo jeśli tak to nieźle xd,0
hehe do gaz hehe jeszcze jakiś emotikona wrzucić,1
