Comment,Kind of offensive language
"Dla mnie faworytem do tytułu będzie Cracovia. Zobaczymy, czy typ się sprawdzi.",0
@anonymized_account @anonymized_account Brawo ty Daria kibic ma być na dobre i złe,0
"@anonymized_account @anonymized_account Super, polski premier składa kwiaty na grobach kolaborantów. Ale doczekaliśmy czasów.",0
@anonymized_account @anonymized_account Musi. Innej drogi nie mamy.,0
"Odrzut natychmiastowy, kwaśna mina, mam problem",0
"Jaki on był fajny xdd pamiętam, że spóźniłam się na jego pierwsze zajęcia i to sporo i za karę kazał mi usiąść w pierwszej ławce XD",0
@anonymized_account No nie ma u nas szczęścia 😉,0
@anonymized_account Dawno kogoś tak wrednego nie widziałam xd,0
"@anonymized_account @anonymized_account Zaległości były, ale ważne czy były wezwania do zapłaty z których się klub nie wywiązał.",0
@anonymized_account @anonymized_account @anonymized_account Gdzie jest @anonymized_account . Brudziński jesteś kłamcą i marnym kutasem @anonymized_account,1
@anonymized_account @anonymized_account  no mam nadzieje !!:),0
@anonymized_account @anonymized_account Może gustował w starszych paniach ;-),0
"@anonymized_account Zostawiłam tam 3 lata temu \""Notatki na mankietach\"". Muszę się wrócić.",0
"@anonymized_account Oprawa do Krzysia M. Ps Pinokio -\n\"" mogłeś być gangsterem a zostałeś 3 ligowym frajerem \""😀",0
@anonymized_account @anonymized_account Znowu będzie komunikat o polskich piratach drogowych w Słowacji.,0
"@anonymized_account Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada",0
"RT @anonymized_account @anonymized_account Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada",0
"@anonymized_account @anonymized_account o jakim zachowaniu \""fer\"" mówisz skoro ukrywał się z tym że podpisał kontrakt z Legią ? Możesz rozwinąć ?",0
@anonymized_account @anonymized_account Joanno! Po raz pierwszy się z panią zgadzam.😁😁😁😁😁,0
"Monster block, monster block, monster block... 😁",0
@anonymized_account Czyżby Madryt brał przykład z Warszawy?,0
@anonymized_account @anonymized_account No to Skończmy kurwa z tym wersalem w j...ej szczujni,1
"@anonymized_account Nie wiem, najczęściej grają na zmianę na prawym skrzydle.",0
@anonymized_account No to Pan i koledzy macie z głowy. Przesrane tak reszta życia pod górkę.,0
"@anonymized_account A ja obstawiam, że pójdą bardziej w stronę tego, że może się powtórzyć sytuacja z Meresińskim.",0
Aaaaa Kuba mi odpisał hehehehehe,0
Asysta Kacpra Falona i 3:1 dla Widzewa. Witamy Widzew w II lidze. No i w sumie fajnie.,0
@anonymized_account gwizdali na niego ? Bo nie oglądałem meczu :),0
@anonymized_account @anonymized_account ale może w końcu dojdzie do wniosku że skoro go klub już nie jara to lepiej go sprzedać i mieć po kłopocie,0
"@anonymized_account @anonymized_account Hej halo, o czym to jest bo mam na swojej liście i nie wiem czy warto??",0
dorosłe życie nie jest dla mnie,0
RT @anonymized_account dorosłe życie nie jest dla mnie,0
"@anonymized_account Cześć Paderewski, część opalające się nogi",0
@anonymized_account @anonymized_account @anonymized_account Uprowadź gumową kaczuszkę. Zacznie negocjować.,0
@anonymized_account Już wiem ze się nie dogadamy XD,0
"@anonymized_account Ale to w nowym przekładzie, jeszcze nie czytałam.",0
"@anonymized_account Lahoza mi nigdy nie szkoda. Wolę, jak na pierwszym planie są piłkarze, a nie sędzia :-)",0
"@anonymized_account @anonymized_account Sprawdź chłopie w słowniku co oznacza słowo , którego używasz a potem się odzywaj.",0
@anonymized_account zmieńcie se nazwe na profilu na insta bo się nazywacie Grzegorz Ożóg...,0
#Woronicza 17 poseł Halicki oburzony za Bolka.Naprawdè taki tępy czy tylko udaje idiotę?,1
„Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻,0
RT @anonymized_account „Ta aktorka ma 20 lat?!?! Jaka stara!!” \n\nChyba musimy się już do grobu pakować roczniku 98 😂👌🏻,0
Ahnherr der Schtwätzer wykonawcy Von Spar\nhttps://t.co/SOtenSqIr0,0
@anonymized_account @anonymized_account @anonymized_account Bierze cie cie pod chuj a ty sie produkujesz,0
@anonymized_account @anonymized_account @anonymized_account Jak narazie to masz przywidzenia co nie zmienia faktu że cały czas jesteś idiotą.,1
@anonymized_account Kiedy do licznika dojdą bilety z fan clubow?,0
@anonymized_account A kto prowadzi zespół ? Będzie podany skład z tego meczu ?,0
"@anonymized_account Główny powód to brak kasy, trzeba dać bogatym 500+,300+ i być bez godności i honoru",0
Zrobiłam takie Cv że ohohohoho,0
Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.,0
RT @anonymized_account Świętować uchwalenie Konstytucji 3 maja i łamać Konstytucję RP obecnie obowiązującą?!\n#3Maja - dzień hipokryzji.,0
@anonymized_account @anonymized_account nie gra bo jest Jovanović i Guilherme,0
@anonymized_account O tej godz. sporty szanuj ciało,0
Nikt nigdy nie rozsiewał takiego smrodu jak @anonymized_account,1
Nikt cię tak dobrze nie ubierze jak matka chrzestna dziecino,0
@anonymized_account @anonymized_account Nikt tutaj nie chce plagiaciarzy kopiujących brytyjskich pisarzy.,0
@anonymized_account A ksiądz co bierze 12 tyś za spowiedź przez tel?,0
"@anonymized_account Koń też ma dużą głowę. Tylko wydaje mi się, że jest bardziej inteligentny niż Karczewski",0
@anonymized_account Pod i górę  pod wiatr to więcej niż k2,0
@anonymized_account Sędziowie VAR nie decydują o karnych 😉,0
"Jakiś program na TVN, nauka jazdy za kierownicą babcia śpiewa \""jadą jadą jadą świry jadą\"" jadą jadą jadą świry jadą\""",0
@anonymized_account ta obecna Zary Larsson czy Pitbulla z ostatnich MŚ nie były złe :),0
(280 znaków w jednym zdaniu 🙈),0
@anonymized_account po wahaniach wagi Kwacha wznoszę że to może być kapuścianka,0
@anonymized_account @anonymized_account w tym sezonie razem z pucharem 12 meczy i 1 gol.Mójta więcej strzelił.Sorry patrze w statystyki.,0
@anonymized_account @anonymized_account @anonymized_account finały tblk były przyzwoicie sędziowane ?! Aha...,0
"@anonymized_account Taki miałam właśnie, teraz kupiłam z catrice",0
@anonymized_account to ich wymień.W czym problem ?,0
@anonymized_account @anonymized_account @anonymized_account a ja mam ciepełko jak się przytule do swoich kotów :),0
"@anonymized_account Właśnie. Ilu! Najpierw odpowiedzmy sobie ma to pytanie,a potem dziwmy się zwycięstwu Zdanowskiej",0
"@anonymized_account W jego przypadku statystyka przebiegniętych kilometrów nie ma znaczenia. Czy gra zajebiście, czy fatalnie, biega tyle samo.",0
"@anonymized_account @anonymized_account 100%, Mann też miał pełne prawo",0
@anonymized_account Kończyłeś już kilka razy 😂,0
@anonymized_account Dzisiaj zajmujemy się WARiatem Krystyną ciekawe czy będzie płakał?,0
@anonymized_account @anonymized_account @anonymized_account @anonymized_account A co będzie jak Kuba nigdy niewroci?,0
@anonymized_account Tym w sejmie też? Banda hipokrytów i złodziei.,0
"W każdej z czterech grup będzie walka o zwycięstwo premiowane awansem do CLJ. Bardzo potrzebne rozwiązanie, brawo.",0
@anonymized_account Tak się poznałam z moim chłopakiem 😂 czasami warto,0
@anonymized_account nelly furtado a tytuł forco czy cos takiego,0
"@anonymized_account Mów prawdę, kto was skrzywdził",0
@anonymized_account jestem tu od 2013 xd,0
@anonymized_account Ta kadra to rocznik 2002,0
"Posiada sensor CGM , ciągły monitoring glikemii, w końcu.",0
"Jeszcze żaden Polak nie wystąpił w meczu gwiazd NBA, nie licząc Mietka Paciaciaka ;) Pomóżmy Marcinowi Gortatowi być 1 @anonymized_account #NBAVOTE",0
"RT @anonymized_account Jeszcze żaden Polak nie wystąpił w meczu gwiazd NBA, nie licząc Mietka Paciaciaka ;) Pomóżmy Marcinowi Gortatowi być 1…",0
@anonymized_account No kurwa myślałem że na Podlasiu,0
"@anonymized_account @anonymized_account Tak, to nawet lepsze rozwiązanie.",0
"@anonymized_account @anonymized_account Koń by się uśmiał, TVN24 i TVN wolne media? Bardziej perfidnego łgarstwa nie słyszałem.. 🤔",0
"RT @anonymized_account @anonymized_account @anonymized_account Koń by się uśmiał, TVN24 i TVN wolne media? Bardziej perfidnego łgarstwa nie słyszałem.. 🤔",0
@anonymized_account Gdzie ja wtedy byłam? ;-),0
@anonymized_account @anonymized_account @anonymized_account Midze sie nudziło i se coś na kolanie napisał i macie sensacje,0
"@anonymized_account Dzisiaj wrócił do treningów, czyli zdążyli 😉",0
"@anonymized_account @anonymized_account @anonymized_account @anonymized_account Nie wiem, zerknij na 90minut",0
@anonymized_account @anonymized_account Z motłochem nie dyskutuję tylko daje bany. A Pani @anonymized_account gratuluję obrońcy.,0
@anonymized_account możesz też zawsze po prostu zapytać kiedy się urodziłam. Albo wpisać hasztag #100latKasiaPawlak ;-),0
"@anonymized_account ale z kategoriami moim zdaniem przesadzają.Sponsor roku, serce, impreza ? Bez jaj",0
@anonymized_account Prezes się cieszy ze Wisla odpadła bo w razie finału Legia-Wisla znów by musiał finał odwoływać,0
"Bratowa wysłała mi zdjęcie bratanicy z rozpoczęcia roku, idzie do pierwszej klasy, biedactwo nie wie co ją czeka",0
@anonymized_account szybkie pytanie do @anonymized_account Ręka Sadloka była zagraniem umyślnym ?,0
@anonymized_account Dzień w którym Abidal sprzedał i kupił A.Vidala 😉,0
